id1,id2
0,299
0,406
0,407
0,664
0,2115
0,3264
0,4158
0,5931
0,6227
0,6228
0,7863
0,10102
0,11526
1,1517
1,2656
1,3174
1,6086
1,6938
1,9848
1,10672
1,11864
1,12064
2,462
2,3449
2,3921
2,6628
2,7626
2,9255
2,11984
2,12034
2,13383
2,14002
2,14267
2,14483
3,213
3,246
3,247
3,686
3,711
3,982
3,1855
3,2000
3,2098
3,2486
3,2821
3,2974
3,3126
3,3256
3,3478
3,5109
3,5247
3,5248
3,5507
3,5508
3,5605
3,5911
3,6435
3,6471
3,7013
3,7494
3,7495
3,8230
3,8427
3,8644
3,8675
3,9202
3,9662
3,9880
3,10783
3,10853
3,10873
3,10874
3,11538
3,11644
3,12442
3,12564
3,12631
3,12697
3,13114
3,13294
3,14322
4,1834
4,5577
4,7456
4,7725
4,9329
4,11475
4,12372
4,12527
4,13173
4,13636
5,487
5,1206
5,1387
5,1466
5,1810
5,2256
5,3760
5,4523
5,5021
5,5045
5,5127
5,5502
5,5791
5,7735
5,8693
5,9643
5,9947
5,10056
5,10543
5,11623
5,12402
5,12881
5,13572
5,14163
5,14219
5,14548
6,1613
6,2493
6,3303
6,3421
6,4431
6,6825
6,9414
6,9743
6,10044
6,11091
6,11805
6,11905
6,11956
6,12660
6,13374
6,13801
7,218
7,589
7,898
7,2315
7,2878
7,3067
7,3474
7,3626
7,4512
7,4620
7,5028
7,5955
7,6019
7,6045
7,6558
7,7452
7,9037
7,9126
7,9388
7,9846
7,10076
7,10107
7,10108
7,10585
7,11011
7,11012
7,11146
7,11147
7,11568
7,11945
7,11953
7,12188
7,12198
7,12199
7,12387
7,12462
7,12707
7,13821
7,13822
7,13924
7,14113
7,14558
8,236
8,432
8,514
8,715
8,1726
8,2044
8,2751
8,2758
8,2793
8,2829
8,3172
8,3634
8,3708
8,4165
8,4519
8,4688
8,4760
8,5558
8,6352
8,7389
8,7603
8,8510
8,8529
8,9220
8,9645
8,10143
8,10471
8,10571
8,10951
8,11778
8,12515
8,12994
8,13607
8,13691
8,13751
8,13819
8,14217
8,14547
9,576
9,2104
9,2169
9,2301
9,3085
9,4258
9,5746
9,8242
9,8793
9,8962
9,9250
9,9596
9,10964
9,13041
10,889
10,1604
10,1711
10,1716
10,3165
10,3509
10,5857
10,8463
10,10798
10,12151
10,12298
11,50
11,850
11,895
11,954
11,1535
11,1773
11,1881
11,1886
11,1887
11,2012
11,2481
11,2585
11,2877
11,2918
11,3001
11,3325
11,3327
11,3646
11,3815
11,3816
11,3852
11,4246
11,4390
11,4461
11,4462
11,4476
11,4487
11,4593
11,5290
11,5384
11,5385
11,5408
11,5445
11,6027
11,6028
11,6387
11,6517
11,6552
11,6725
11,6783
11,6840
11,6945
11,7025
11,7066
11,7067
11,7105
11,7523
11,7610
11,7952
11,7969
11,8188
11,8736
11,8839
11,8901
11,9070
11,9249
11,9257
11,9269
11,9346
11,9604
11,9700
11,9906
